Name','Type','Region','Country','Lat','Long','Elev Ft.','Pop Est
Drumbrollisk,city,Cavan,Ireland,54.0675,-7.1908333,249,2659
Drumcask,city,Cavan,Ireland,54.1725,-7.7347222,275,2528
Drumcondra,city,Cavan,Ireland,54.0208333,-7.0138889,410,2501
Drumconnick,city,Cavan,Ireland,53.9880556,-7.3866667,282,2425
Drumcor,city,Cavan,Ireland,54.0986111,-7.2905556,246,2872
Drumcrow South,city,Cavan,Ireland,53.9561111,-7.5783333,269,2345
Drumgoon,city,Cavan,Ireland,54.0369444,-7.0575,360,2432
Drumgor,city,Cavan,Ireland,53.9816667,-7.4380556,308,2425
Drumhillagh,city,Cavan,Ireland,54.0333333,-7.2266667,262,2420
Drumlane,city,Cavan,Ireland,54.0191667,-7.2294444,305,2420
Drumliff,city,Cavan,Ireland,54.0641667,-7.3305556,236,2498
Drummany,city,Cavan,Ireland,54.0275,-7.5888889,249,2049
Drummullagh,city,Cavan,Ireland,54.0530556,-7.5072222,298,2414
Drumnatread,city,Cavan,Ireland,54.069444,-7.1258333,246,2680
Drumroe,city,Cavan,Ireland,53.9469444,-7.5175,383,2429
Drung,city,Cavan,Ireland,54.035,-7.2386111,272,2420
Drutamon,city,Cavan,Ireland,53.9913889,-7.0794444,521,2425
Dun An Ri,city,Cavan,Ireland,53.9080556,-6.8055556,298,3439
Dún An Ri,city,Cavan,Ireland,53.9080556,-6.8055556,298,3439
Duneena,city,Cavan,Ireland,53.9430556,-7.0141667,485,2426
Dunglave,city,Cavan,Ireland,54.1611111,-7.7066667,259,2437
Eighter,city,Cavan,Ireland,53.8177778,-7.1347222,462,2931
Erraran,city,Cavan,Ireland,54.125,-7.6977778,436,2230
Eylagh,city,Cavan,Ireland,54.0447222,-7.6025,249,2287
Fartrin,city,Cavan,Ireland,54.0875,-7.5897222,246,2454
Fartrin Cross Roads,city,Cavan,Ireland,54.0797222,-7.595,246,2287
Gannons Cross,city,Cavan,Ireland,54.0994444,-7.365,423,2577
Gartbrattan,city,Cavan,Ireland,54.011111,-7.4388889,305,2420
Glangavlen,city,Cavan,Ireland,54.1947222,-7.89,505,2271
Glangevlin,city,Cavan,Ireland,54.1947222,-7.89,505,2271
Glasleck,city,Cavan,Ireland,53.9741667,-6.9266667,488,2548
Glasstown,city,Cavan,Ireland,54.0422222,-7.5133333,314,2414
Glen,city,Cavan,Ireland,54.1097222,-7.5013889,246,2502
Glengavlen,city,Cavan,Ireland,54.1947222,-7.89,505,2271
Glengevlin,city,Cavan,Ireland,54.1947222,-7.89,505,2271
Gortahill,city,Cavan,Ireland,54.2847222,-7.9644444,249,2006
Gowlan,city,Cavan,Ireland,54.2508333,-7.9002778,767,2542
Gowlan,city,Cavan,Ireland,54.1372222,-7.795,439,2235
Greaghagibney,city,Cavan,Ireland,53.9427778,-7.1302778,547,2426
Greaghrahan,city,Cavan,Ireland,54.0927778,-7.5375,265,2502
Greenville,city,Cavan,Ireland,54.0697222,-7.5844444,252,2287
Gubaveeny,city,Cavan,Ireland,54.2444444,-7.9705556,406,2168
Gubrawnlly,city,Cavan,Ireland,54.1611111,-7.7433333,288,2364
Kilconny,city,Cavan,Ireland,54.1019444,-7.4488889,246,2475
Kilcrossduff,city,Cavan,Ireland,53.965,-6.9038889,498,2774
Kildorough,city,Cavan,Ireland,53.8419444,-7.2125,341,2434
Kildorragh,city,Cavan,Ireland,53.8419444,-7.2125,341,2434
Kill,city,Cavan,Ireland,54.0330556,-7.1102778,498,2422
Killashandra,city,Cavan,Ireland,54.0166667,-7.5333333,387,2420
Killeshandra,city,Cavan,Ireland,54.0166667,-7.5333333,387,2420
Killycluggin,city,Cavan,Ireland,54.0933333,-7.6361111,239,2368
Killyconnan,city,Cavan,Ireland,53.9647222,-7.2688889,495,2425
Killycreeny,city,Cavan,Ireland,54.0638889,-7.1486111,246,2680
Killykeen,city,Cavan,Ireland,53.9972222,-7.4569444,393,2425
Killylea,city,Cavan,Ireland,54.1216667,-7.4102778,403,2486
Killyran,city,Cavan,Ireland,54.08,-7.6936111,252,1880
Killyvahan,city,Cavan,Ireland,54.0180556,-7.0863889,518,2422
Killyvally,city,Cavan,Ireland,53.9877778,-7.4422222,311,2425
Killyvanny,city,Cavan,Ireland,54.0369444,-7.3530556,291,2420
Kilmacaran,city,Cavan,Ireland,54.02778,-6.9566667,400,2891
Kilnacreevy,city,Cavan,Ireland,53.9611111,-7.2122222,498,2425
Kilnacrew,city,Cavan,Ireland,54.05,-7.0375,295,2815
Kilnaleck,city,Cavan,Ireland,53.8666667,-7.3166667,495,2532
Kilsob,city,Cavan,Ireland,54.1175,-7.6636111,288,2368
Kinagha,city,Cavan,Ireland,54.1013889,-7.3925,488,2486
Kingscourt,city,Cavan,Ireland,53.9080556,-6.8055556,298,3439
Knappagh House,city,Cavan,Ireland,54.0205556,-6.9644444,403,2680
Knockbride,city,Cavan,Ireland,53.9863889,-6.9955556,498,2455
Lahard,city,Cavan,Ireland,53.9833333,-7.5,298,2425
Larah,city,Cavan,Ireland,53.9933333,-7.2158333,403,2425
Latsey,city,Cavan,Ireland,53.9872222,-7.05,498,2425
Lavey,city,Cavan,Ireland,53.9697222,-7.2425,488,2425
Leck,city,Cavan,Ireland,54.2980556,-7.9352778,374,2403
Ledonigan,city,Cavan,Ireland,53.9430556,-7.075,495,2426
Legnagrow,city,Cavan,Ireland,54.2125,-7.9052778,590,2447
Lisagoan,city,Cavan,Ireland,53.9494444,-6.8730556,547,2841
Lisduff,city,Cavan,Ireland,53.9663889,-7.3833333,344,2425
Lisduff,city,Cavan,Ireland,53.7972222,-7.0294444,442,2727
Lisnageer,city,Cavan,Ireland,54.0716667,-7.1630556,252,2680
Lisnamandra,city,Cavan,Ireland,53.9677778,-7.4194444,249,2425
Lisreagh,city,Cavan,Ireland,53.9516667,-7.3325,498,2426
Madabawn Bridge,city,Cavan,Ireland,54.0297222,-7.0225,337,2501
Magherintemple,city,Cavan,Ireland,54.0955556,-7.2197222,252,3008
McShanes Bridge,city,Cavan,Ireland,54.066667,-7.2236111,242,2622
McShanes Bridge,city,Cavan,Ireland,54.066667,-7.2236111,242,2622
Milltown,city,Cavan,Ireland,54.065,-7.4775,255,2414
Milltown,city,Cavan,Ireland,53.9819444,-6.9130556,492,2774
Moher,city,Cavan,Ireland,54.1188889,-7.6311111,344,2368
Moneensauran,city,Cavan,Ireland,54.1725,-7.8783333,774,2271
Money,city,Cavan,Ireland,53.9819444,-6.9130556,492,2774
Moneynure,city,Cavan,Ireland,54.13,-7.7375,285,2364
Mountain House,city,Cavan,Ireland,53.98,-7.1086111,541,2425
Mountain Lodge,city,Cavan,Ireland,53.98,-7.1086111,541,2425
Muinchille,city,Cavan,Ireland,54.0725,-7.0819444,269,2681
Mullagh,city,Cavan,Ireland,53.8130556,-6.9513889,416,3523
Mully,city,Cavan,Ireland,54.2030556,-7.9022222,495,2271
New Inn,city,Cavan,Ireland,53.9019444,-7.1769444,498,2423
Nolagh,city,Cavan,Ireland,53.9486111,-6.9213889,620,2486
Northlands,city,Cavan,Ireland,53.9630556,-6.8588889,498,3051
Oggal,city,Cavan,Ireland,54.2597222,-7.9266667,547,2324
Ouley,city,Cavan,Ireland,54.0375,-7.315,324,2420
Plush,city,Cavan,Ireland,54.0594444,-7.3691667,232,2435
Poles,city,Cavan,Ireland,53.9877778,-7.2797222,501,2425
Port,city,Cavan,Ireland,54.0422222,-7.5133333,314,2414
Pottlereagh,city,Cavan,Ireland,54.0575,-7.0255556,377,2815
Putiaghan,city,Cavan,Ireland,54.0827778,-7.4425,229,2415
Raheelan,city,Cavan,Ireland,54.1208333,-7.4502778,229,2475
Rakane,city,Cavan,Ireland,54.0436111,-7.1080556,456,2670
Raleagh,city,Cavan,Ireland,54.0311111,-7.6263889,249,1764
Redhills,city,Cavan,Ireland,54.1,-7.3166667,249,2733
Relagh,city,Cavan,Ireland,53.8705556,-6.9597222,505,2724
Relaghbeg,city,Cavan,Ireland,53.8705556,-6.9597222,505,2724
Rivory,city,Cavan,Ireland,54.0488889,-7.4222222,236,2415
Ryefield,city,Cavan,Ireland,53.7880556,-7.0586111,377,3382
Scarvy Bridge,city,Cavan,Ireland,54.0508333,-7.0716667,249,2681
Searcog,city,Cavan,Ireland,54,-6.9,501,2774
Searcóg,city,Cavan,Ireland,54,-6.9,501,2774
Shercock,city,Cavan,Ireland,54,-6.9,501,2774
Snakeel,city,Cavan,Ireland,54.0283333,-7.5094444,301,2420
Sraith an Domhain,city,Cavan,Ireland,53.9833333,-7.2333333,442,2425
Sralahan,city,Cavan,Ireland,54.1297222,-7.6352778,738,2507
Sraloaghan,city,Cavan,Ireland,54.0916667,-7.7322222,249,2052
Sruhanagh,city,Cavan,Ireland,54.1888889,-7.9836111,849,1975
Stradone,city,Cavan,Ireland,53.9833333,-7.2333333,442,2425
Stragelliff,city,Cavan,Ireland,53.9966667,-7.2955556,505,2425
Straheglin,city,Cavan,Ireland,54.0911111,-7.435,311,2475
Swanlinbar,city,Cavan,Ireland,54.1947222,-7.7044444,246,2565
Teeboy,city,Cavan,Ireland,54.1147222,-7.7291667,278,2052
Tirlahode Lower,city,Cavan,Ireland,53.9461111,-7.1863889,501,2426
Tober,city,Cavan,Ireland,54.2166667,-8.019444,410,1858
Toberlyan,city,Cavan,Ireland,54.0744444,-7.6369444,242,2094
Tonyduff,city,Cavan,Ireland,53.9572222,-7.0588889,498,2426
Treehog Cross Roads,city,Cavan,Ireland,54.0791667,-7.2613889,255,2574
Tullycoe,city,Cavan,Ireland,54.091667,-7.2008333,252,3086
Tullynamoyle,city,Cavan,Ireland,54.2247222,-8.0219444,593,1858
Tullyvin,city,Cavan,Ireland,54.0483333,-7.1447222,239,2680
Uragh,city,Cavan,Ireland,54.1930556,-7.6972222,249,2565
Virginia,city,Cavan,Ireland,53.8338889,-7.0755556,380,2428
Waterloo,city,Cavan,Ireland,53.9333333,-7.1302778,561,2426
Aghaglinny North,city,Clare,Ireland,53.1391667,-9.2188889,114,1134
Aglish,city,Clare,Ireland,52.9844444,-9.025,259,2500
Ahnagh Cross,city,Clare,Ireland,52.8208333,-9.4166667,275,1863
An Fhiacail,city,Clare,Ireland,52.9247222,-8.6452778,252,2503
An Geata Ban,city,Clare,Ireland,52.9491667,-8.3713889,183,1554
An Geata Bán,city,Clare,Ireland,52.9491667,-8.3713889,183,1554
An Leacht,city,Clare,Ireland,52.9366667,-9.3452778,180,2113
An Scairbh,city,Clare,Ireland,52.8988889,-8.5091667,272,2348
An Tulach,city,Clare,Ireland,52.8647222,-8.7605556,498,2510
Annacarriga,city,Clare,Ireland,52.8511111,-8.5038889,616,2387
Annaghneal Bridges,city,Clare,Ireland,52.8933333,-8.6575,200,2507
Annagore Bridge,city,Clare,Ireland,52.7569444,-8.7761111,190,2514
Ardsollus,city,Clare,Ireland,52.7975,-8.8888889,29,2511
Ardsollus Bridge,city,Clare,Ireland,52.7975,-8.8888889,29,2511
Ath Leathen,city,Clare,Ireland,52.8047222,-8.6322222,305,2511
Áth Leathen,city,Clare,Ireland,52.8047222,-8.6322222,305,2511
Athlunkard Bridge,city,Clare,Ireland,52.6811111,-8.6097222,42,3819
Aughaglanna Bridge,city,Clare,Ireland,52.8277778,-9.1677778,249,2511
Aughanloge Bridge,city,Clare,Ireland,52.6477778,-9.3158333,6,2555
