"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyhale, Kilkenny/Carlow Division",2,2,2,3,1,2,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyhaunis, Mayo Division",14,17,20,15,15,19,7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyheigue, Kerry Division",8,4,5,5,8,6,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyjamesduff, Cavan/Monaghan Division",29,28,22,17,18,25,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballylanders, Limerick Division",7,9,10,11,4,2,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballylinan, Laois/Offaly Division",9,3,2,5,3,11,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymacarberry, Waterford Division",6,6,2,3,6,2,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymahon, Roscommon/Longford Division",18,28,20,16,21,15,7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymore, Westmeath Division",2,3,3,3,2,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymote, Sligo/Leitrim Division",19,9,9,12,12,13,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballymun, D.M.R. Northern Division",186,166,140,135,127,160,66
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballynacargy, Westmeath Division",6,4,1,3,6,3,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyneety, Limerick Division",8,4,5,9,4,18,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballynoe, Cork North Division",3,2,2,2,5,4,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyporeen, Tipperary Division",1,4,3,4,5,2,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyshannon, Donegal Division",22,26,16,10,12,17,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyvaughan, Clare Division",2,2,1,1,2,3,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baltimore, Cork West Division",1,1,1,0,0,3,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Baltinglass, Wicklow Division",25,25,20,25,33,26,11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Banagher, Laois/Offaly Division",9,11,5,4,4,4,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bandon, Cork West Division",47,45,53,36,35,45,24
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bangor Erris, Mayo Division",9,3,4,3,4,2,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bansha, Tipperary Division",3,3,4,4,1,4,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bantry, Cork West Division",43,19,30,20,22,16,19
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Barnaderg, Galway Division",6,7,3,1,4,3,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Barraduff, Kerry Division",2,0,1,0,0,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","BÈal aÅtha an Ghaorthaidh, Cork West Division",1,1,0,3,1,3,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","BÈal an Mhuirthead, Mayo Division",23,18,8,19,10,18,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Belturbet, Cavan/Monaghan Division",27,14,14,15,15,15,13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bennettsbridge, Kilkenny/Carlow Division",0,3,2,0,1,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Birr,  Laois/Offaly Division",46,30,34,43,37,35,19
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Bishopstown, Cork City Division",45,32,38,26,24,31,15
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Blacklion, Cavan/Monaghan Division",1,4,2,0,1,0,0
